City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,port-gentil,-0.7193,8.7815,25.32,84,100,4.91,GA,1681518591
313,sitka,57.0531,-135.33,7.94,53,100,5.66,US,1681518592
314,noumea,-22.2763,166.4572,27.22,99,100,2.26,NC,1681518326
315,isla vista,34.4133,-119.861,18.24,70,0,4.12,US,1681518592
316,lieksa,63.3167,30.0167,-6.7,92,12,2.6,FI,1681518593
317,alice,27.7523,-98.0697,27.09,74,0,6.69,US,1681518465
318,qaqortoq,60.7167,-46.0333,1.76,55,100,5.37,GL,1681518593
319,rio gallegos,-51.6226,-69.2181,7.03,49,0,4.12,AR,1681518593
320,gornozavodsk,58.3758,58.3211,-9.23,80,1,1.09,RU,1681518594
321,boyabat,41.4689,34.7667,11.92,63,16,0.66,TR,1681518594
322,fort morgan,40.2503,-103.8,2.93,100,100,4.19,US,1681518594
323,mayumba,-3.432,10.6554,26.13,86,100,0.98,GA,1681518594
324,aklavik,68.2191,-135.0107,-12.16,86,100,4.05,CA,1681518594
325,xuddur,4.1213,43.8894,24.51,65,51,5.3,SO,1681518594
326,sao joao da barra,-21.6403,-41.0511,23.05,91,59,1.79,BR,1681518595
327,san quintin,30.4833,-115.95,15.21,64,12,7.7,MX,1681518596
328,matara,5.9485,80.5353,25.18,88,68,1.42,LK,1681518596
329,tres arroyos,-38.3739,-60.2798,11.11,43,100,2.14,AR,1681518596
330,atlantic beach,30.3344,-81.3987,26.7,74,0,4.63,US,1681518354
331,bugembe,0.4797,33.2344,18.26,90,85,0.5,UG,1681518596
332,oktyabrskoye,43.0645,44.7417,4.08,86,23,3.0,RU,1681518597
333,darhan,49.4867,105.9228,2.1,35,49,3.38,MN,1681518597
334,chojnice,53.6955,17.557,9.17,79,100,5.35,PL,1681518597
335,illapel,-31.6308,-71.1653,15.8,75,68,1.68,CL,1681518597
336,sihora,23.4833,80.1167,28.21,23,98,2.41,IN,1681518598
337,sar-e pul,35.8333,66.1667,13.38,64,48,0.59,AF,1681518598
338,zelenets,61.8849,50.7489,-3.86,98,49,2.04,RU,1681518598
339,eldorado,-23.7869,-54.2836,23.93,91,40,1.49,BR,1681518598
340,bokoro,12.3807,17.0568,29.53,14,86,3.78,TD,1681518598
341,mawlaik,23.6333,94.4167,23.88,32,52,0.12,MM,1681518598
342,hami,42.8,93.45,14.27,21,100,1.1,CN,1681518599
343,swidwin,53.7746,15.7767,9.08,82,100,5.92,PL,1681518599
344,marsh harbour,26.5412,-77.0636,24.91,83,84,5.23,BS,1681518599
345,jalu,29.0331,21.5482,21.04,12,0,4.04,LY,1681518599
346,siero,43.3833,-5.6667,12.43,86,58,1.52,ES,1681518600
347,chara,56.9064,118.2631,-7.38,84,74,0.85,RU,1681518600
348,tefe,-3.3542,-64.7114,25.04,92,100,0.91,BR,1681518600
349,vakhrushev,48.9833,142.9667,0.7,59,20,2.14,RU,1681518600
350,salamanca,40.8333,-6.0,8.88,95,29,3.28,ES,1681518601
351,golden,39.7555,-105.2211,3.9,92,100,3.6,US,1681518601
352,saint anthony,45.0205,-93.218,22.96,58,100,5.66,US,1681518602
353,camargo,27.6667,-105.1667,24.46,17,0,12.85,MX,1681518605
